"CÓD. MEGA","NOME","PART. %",30/12/15,2015
"GETI3","AES TIETE","0,243","9,47","-1,96"
"GETI4","AES TIETE","0,535","9,96","-16,89"
"BTOW3","B2W DIGITAL","0,500","3,18","-32,13"
"BBDC3","BRADESCO","1,149","-11,66","-24,61"
"BBDC4","BRADESCO","3,956","-4,91","-30,05"
"BBAS3","BRASIL","1,012","-8,30","-32,28"
"BRKM5","BRASKEM","2,174","5,34","66,18"
"BRFS3","BRF SA","12,718","0,65","-11,45"
"CCRO3","CCR SA","3,216","-1,67","-14,60"
"CMIG3","CEMIG","0,395","-2,57","-51,84"
"CMIG4","CEMIG","1,383","-7,12","-51,86"
"CIEL3","CIELO","7,720","-4,33","-1,47"
"COCE5","COELCE","0,189","-3,74","-7,79"
"CPLE3","COPEL","0,103","-16,67","-33,36"
"CPLE6","COPEL","0,730","-15,33","-30,49"
"CPFE3","CPFL ENERGIA","1,393","-3,56","-15,28"
"DTEX3","DURATEX","0,459","-8,55","-22,67"
"ECOR3","ECORODOVIAS","0,301","-2,68","-49,90"
"ELET3","ELETROBRAS","0,462","-0,52","-0,69"
"ELET6","ELETROBRAS","0,682","0,58","28,88"
"ELPL4","ELETROPAULO","0,232","7,14","-3,00"
"EMBR3","EMBRAER","6,599","-0,57","24,32"
"ENBR3","ENERGIAS BR","0,833","1,65","36,19"
"EVEN3","EVEN","0,252","0,98","-20,03"
"FIBR3","FIBRIA","3,432","-3,22","71,44"
"FLRY3","FLEURY","0,297","-1,30","-1,20"
"GGBR3","GERDAU","0,104","-16,14","-55,14"
"GGBR4","GERDAU","1,185","-23,77","-50,08"
"GOAU3","GERDAU MET","0,027","-10,65","-82,15"
"GOAU4","GERDAU MET","0,291","-16,16","-85,07"
"ITSA4","ITAUSA","1,944","-3,63","-14,66"
"ITUB3","ITAUUNIBANCO","0,578","-2,28","-12,12"
"ITUB4","ITAUUNIBANCO","6,288","-4,62","-12,47"
"JSLG3","JSL","0,112","-18,12","-43,22"
"KLBN11","KLABIN S/A","3,549","-1,18","64,05"
"LIGT3","LIGHT S/A","0,288","-8,33","-38,67"
"LAME3","LOJAS AMERIC","0,626","3,92","-4,00"
"LAME4","LOJAS AMERIC","2,733","12,53","13,27"
"LREN3","LOJAS RENNER","3,217","-2,05","13,82"
"NATU3","NATURA","1,202","10,91","-21,86"
"SBSP3","SABESP","1,915","0,05","13,18"
"SANB11","SANTANDER BR","0,525","8,38","28,15"
"SULA11","SUL AMERICA","1,333","-12,87","48,32"
"VIVT3","TELEF BRASIL","0,296","5,73","-6,84"
"VIVT4","TELEF BRASIL","5,036","-3,06","-17,31"
"TIMP3","TIM PART S/A","1,650","-10,33","-40,77"
"TBLE3","TRACTEBEL","2,031","0,09","2,26"
"VALE3","VALE","5,670","-1,06","-37,63"
"VALE5","VALE","5,907","-3,57","-43,56"
"WEGE3","WEG","2,530","-1,32","-0,18"
