"CÓD. MEGA","NOME","PART. %",28/12/18,2017
"TIET11","AES TIETE E","1,180","-1,76","-15,52"
"BTOW3","B2W DIGITAL","2,436","9,80","104,98"
"BBDC3","BRADESCO","1,111","2,56","19,56"
"BBDC4","BRADESCO","4,691","2,22","29,23"
"BBAS3","BRASIL","2,328","4,43","51,44"
"BRKM5","BRASKEM","4,915","-12,55","15,28"
"CCRO3","CCR SA","5,058","-13,78","-26,84"
"CLSC4","CELESC","0,438","20,43","87,22"
"CMIG4","CEMIG","5,215","10,05","116,41"
"CIEL3","CIELO","3,900","-3,38","-58,26"
"CPLE6","COPEL","1,183","-3,07","31,34"
"CPFE3","CPFL ENERGIA","0,609","7,25","50,79"
"DTEX3","DURATEX","1,269","2,91","36,92"
"ECOR3","ECORODOVIAS","0,721","0,86","-17,78"
"ELPL3","ELETROPAULO","0,102","-1,42","91,44"
"ENBR3","ENERGIAS BR","1,689","7,74","9,30"
"EGIE3","ENGIE BRASIL","3,355","-2,82","29,97"
"FIBR3","FIBRIA","6,148","-0,92","52,64"
"FLRY3","FLEURY","2,412","-8,43","-31,00"
"ITSA4","ITAUSA","2,037","-1,89","33,17"
"ITUB3","ITAUUNIBANCO","0,443","-2,55","28,31"
"ITUB4","ITAUUNIBANCO","6,287","-1,38","32,99"
"KLBN11","KLABIN S/A","3,669","-4,00","-4,92"
"LIGT3","LIGHT S/A","0,645","5,23","-0,32"
"LOGG3","LOG COM PROP","0,155","3,66","15,05"
"LAME3","LOJAS AMERIC","1,034","-0,05","16,00"
"LAME4","LOJAS AMERIC","4,803","-0,05","16,00"
"LREN3","LOJAS RENNER","10,678","42,66","20,93"
"MRVE3","MRV","1,419","25,19","6,12"
"NATU3","NATURA","3,047","10,00","37,43"
"SANB11","SANTANDER BR","0,601","-0,05","40,64"
"VIVT4","TELEF BRASIL","7,577","1,99","3,38"
"TIMP3","TIM PART S/A","3,765","-0,08","-8,18"
"WEGE3","WEG","5,080","-1,32","-3,88"
