"CÓD. MEGA","NOME","PART. %",28/12/17,2016
"TIET11","AES TIETE E","1,122","-2,47","-3,43"
"BTOW3","B2W DIGITAL","1,048","19,26","105,79"
"BBDC3","BRADESCO","1,073","7,77","24,90"
"BBDC4","BRADESCO","4,194","5,92","32,68"
"BBAS3","BRASIL","1,684","6,56","16,30"
"BRKM5","BRASKEM","3,585","-2,87","28,75"
"BRFS3","BRF SA","9,177","-4,89","-24,15"
"CCRO3","CCR SA","5,583","2,02","4,77"
"CLSC4","CELESC","0,179","39,4","70,55"
"CMIG4","CEMIG","1,907","4,09","-5,57"
"CIEL3","CIELO","8,108","3,14","4,67"
"CPLE6","COPEL","0,722","8,15","-2,88"
"CPFE3","CPFL ENERGIA","0,300","-7,81","-22,58"
"DTEX3","DURATEX","0,772","5,09","36,60"
"ECOR3","ECORODOVIAS","0,705","2,24","55,53"
"ELET3","ELETROBRAS","1,443","3,26","-15,21"
"ELET6","ELETROBRAS","1,427","6,27","-6,45"
"ELPL3","ELETROPAULO","0,523","2,19","-34,00"
"EMBR3","EMBRAER","4,617","28,29","27,04"
"ENBR3","ENERGIAS BR","1,159","2,22","5,27"
"EGIE3","ENGIE BRASIL","2,120","0,23","9,33"
"FIBR3","FIBRIA","3,403","5,93","53,73"
"FLRY3","FLEURY","2,737","12,89","68,85"
"ITSA4","ITAUSA","1,790","5,77","36,88"
"ITUB3","ITAUUNIBANCO","0,511","1,94","30,37"
"ITUB4","ITAUUNIBANCO","5,681","3,52","29,93"
"KLBN11","KLABIN S/A","2,806","-1,40","2,71"
"LIGT3","LIGHT S/A","0,463","3,66","-3,86"
"LAME3","LOJAS AMERIC","0,789","8,42","5,47"
"LAME4","LOJAS AMERIC","3,546","14,97","0,42"
"LREN3","LOJAS RENNER","7,744","4,80","70,57"
"MRVE3","MRV","1,287","12,66","43,68"
"NATU3","NATURA","1,748","13,93","45,05"
"SANB11","SANTANDER BR","0,521","10,31","13,49"
"SULA11","SUL AMERICA","1,627","4,30","21,39"
"VIVT4","TELEF BRASIL","6,312","4,01","16,83"
"TIMP3","TIM PART S/A","3,228","11,02","69,29"
"WEGE3","WEG","4,359","5,59","58,23"
