"CÓD. MEGA","NOME","PART. %",29/12/16,2015
"TIET11","AES TIETE E","0,781","-3,85","14,47"
"BTOW3","B2W DIGITAL","0,453","-9,97","-33,03"
"BBDC3","BRADESCO","1,189","0,87","62,37"
"BBDC4","BRADESCO","4,344","-1,6","72,43"
"BBAS3","BRASIL","1,934","-1,19","98,04"
"BRKM5","BRASKEM","3,271","24,55","37,82"
"BRFS3","BRF SA","13,422","-6,58","-10,79"
"CCRO3","CCR SA","4,961","8,5","33,19"
"CMIG4","CEMIG","1,971","1,1","40,29"
"CESP6","CESP","0,757","3,06","3,80"
"CIEL3","CIELO","9,348","-6,16","1,24"
"CPLE6","COPEL","0,852","-5,49","17,09"
"CPFE3","CPFL ENERGIA","2,525","2,23","72,03"
"DTEX3","DURATEX","0,667","-0,73","17,10"
"ECOR3","ECORODOVIAS","0,592","4,3","66,65"
"ELET3","ELETROBRAS","1,835","-11,07","296,01"
"ELET6","ELETROBRAS","1,824","-8,61","147,99"
"ELPL4","ELETROPAULO","0,323","28,88","38,35"
"EMBR3","EMBRAER","4,240","-3,44","-46,76"
"ENBR3","ENERGIAS BR","0,961","-2,24","22,64"
"EGIE3","ENGIE BRASIL","2,200","-2,37","-12,65"
"EVEN3","EVEN","0,277","-7,04","-6,06"
"FIBR3","FIBRIA","2,642","2,84","-37,46"
"FLRY3","FLEURY","1,980","-3,8","137,8"
"ITSA4","ITAUSA","1,767","-0,76","42,04"
"ITUB3","ITAUUNIBANCO","0,535","-0,5","42,28"
"ITUB4","ITAUUNIBANCO","5,985","-3,18","48,96"
"KLBN11","KLABIN S/A","2,838","4,42","-22,28"
"LIGT3","LIGHT S/A","0,523","15,89","76,19"
"LAME3","LOJAS AMERIC","0,854","-3,26","20,96"
"LAME4","LOJAS AMERIC","3,130","3,79","5,71"
"LREN3","LOJAS RENNER","5,308","4,87","94,25"
"NATU3","NATURA","1,429","3,35","38,11"
"SANB11","SANTANDER BR","0,640","-11,66","-0,44"
"SULA11","SUL AMERICA","1,563","-2,74","-0,47"
"VIVT4","TELEF BRASIL","6,604","-2,39","28,53"
"TIMP3","TIM PART S/A","2,284","-5,66","17,19"
"WEGE3","WEG","3,188","0,01","6,06"
